,RMS,RMS,Kurtosis,Kurtosis,ImpulseFactor,ImpulseFactor
,mean,std,mean,std,mean,std
FlatSize,,,,,,
0,0.123,0.043,2.994,0.064,4.832,0.367
5,2.384,0.269,56.258,12.962,27.986,5.793
10,3.716,0.549,27.458,8.513,18.218,3.158
15,5.397,1.721,20.841,7.443,15.752,3.854
20,7.614,3.656,19.376,12.397,14.818,5.534
25,10.349,7.133,31.352,46.137,18.429,13.988
30,18.016,20.707,60.451,93.546,29.307,31.068
35,28.734,29.854,112.962,142.73,45.864,44.194
40,32.806,30.52,169.158,202.248,58.516,55.228
45,59.262,52.539,260.554,243.311,93.822,73.175
